Team,Against,Bet,+ or -
BAL,ATL,$5.00,$2.94
BAL,ATL,$5.01,-$5.01
BAL,ATL,$5.00,-$5.00
KC,BAL,$3.45,$2.65
KC,BAL,$3.21,$3.06
KC,BAL,$3.00,$2.73
BAL,BOS,$6.00,$2.73
BAL,BOS,$20.00,$5.88
ChiSox,BOS,$2.87,$1.33
ChiSox,BOS,$10.00,$5.71
BAL,BOS,$4.19,$2.42
BAL,BOS,$4.77,-$4.77
BAL,BOS,$20.00,$10.42
BAL,BOS,$5.00,$2.00
BAL,BOS,$5.00,$2.00
BAL,BOS,$8.49,$2.36
BAL,BOS,$10.00,$2.78
KC,BOS,$16.98,$5.48
KC,BOS,$6.00,$3.00
KC,BOS,$5.00,$2.08
KC,BOS 3-game series,$20.00,$5.00
KC,CHICubs,$20.00,$9.30
KC,CHICubs,$2.99,$1.76
BAL,ChiSox,$6.21,$5.45
BAL,ChiSox,$5.55,$4.37
BAL,ChiSox,$4.44,-$4.44
KC,ChiSox,$3.12,$2.52
KC,ChiSox,$5.30,-$5.30
KC,ChiSox,$10.07,$7.75
KC,ChiSox,$5.46,-$5.46
KC,ChiSox,$6.84,-$6.84
KC,ChiSox,$17.00,$12.14
KC,ChiSox,$4.12,$3.17
KC,ChiSox,$3.21,-$3.21
KC,ChiSox,$5.55,$3.58
KC,ChiSox,$3.84,-$3.84
KC,ChiSox,$8.00,-$8.00
KC,ChiSox,$4.10,$3.28
ChiSox,CIN,$3.21,$1.64
ChiSox,CIN,$4.33,-$4.33
ChiSox,CIN,$4.19,$2.39
KC,CIN,$10.00,-$10.00
KC,CIN,$11.76,-$11.76
ChiSox,CLE,$9.63,$3.44
ChiSox,CLE,$6.00,$3.16
ChiSox,CLE,$8.00,$2.50
BAL,CLE,$2.00,$0.51
BAL,CLE,$4.32,-$4.32
BAL,CLE,$3.11,$1.11
KC,CLE,$4.00,-$4.00
KC,CLE,$10.00,$0.50
KC,CLE,$5.00,$1.39
KC,CLE,$5.00,$1.39
ChiSox,CLE,$6.00,-$6.00
ChiSox,CLE,$5.00,$2.17
ChiSox,CLE,$6.34,$2.35
KC,CLE,$7.14,$2.55
KC,CLE,$5.03,$2.40
KC,CLE,$8.00,$3.20
KC,CLE,$10.00,-$10.00
KC,CLE,$10.04,-$10.04
KC,CLE,$8.30,$3.61
KC,CLE,$5.88,-$5.88
KC,CLE,$10.00,$5.88
KC,CLE,$6.00,-$6.00
KC,CLE,$12.00,$5.58
ChiSox,DET,$3.00,$2.78
ChiSox,DET,$2.00,-$2.00
ChiSox,DET,$4.44,-$4.44
ChiSox,DET,$4.00,$2.92
ChiSox,DET,$3.29,-$3.29
ChiSox,DET,$6.00,-$6.00
ChiSox,DET,$4.44,-$4.44
KC,DET,$5.00,-$5.00
KC,DET,$3.00,$2.73
KC,DET,$10.00,-$10.00
KC,DET,$3.18,$2.89
KC,DET,$6.66,-$6.66
KC,DET,$6.00,$6.00
KC,DET,$4.04,-$4.04
ChiSox,HOU,$15.00,$5.00
ChiSox,HOU,$9.00,$3.21
ChiSox,HOU,$8.00,$2.58
ChiSox,HOU,$4.66,$1.37
BAL,HOU,$10.00,$4.00
BAL,HOU,$6.00,$2.31
BAL,HOU,$8.00,$3.33
ChiSox,LAA,$3.45,-$3.45
ChiSox,LAA,$4.00,$1.82
ChiSox,LAA,$3.19,$1.72
BAL,LAA,$4.32,$2.96
BAL,LAA,$6.00,$4.00
BAL,LAA,$3.41,-$3.41
BAL,MIN,$7.02,$5.75
BAL,MIN,$3.31,$2.76
BAL,MIN,$4.00,$2.72
BAL,MIN,$6.85,$3.26
BAL,MIN,$5.03,$2.87
KC,MIN,$4.06,$2.03
KC,MIN,$12.00,-$12.00
KC,MIN,$4.88,$3.37
KC,MIN,$3.69,$1.99
KC,MIN,$4.00,$1.67
KC,MIN,$8.32,$5.37
KC,MIN,$4.00,$2.92
KC,MIN,$4.44,-$4.44
ChiSox,MIN,$4.01,$2.93
ChiSox,MIN,$4.00,-$4.00
ChiSox,MIN,$2.22,-$2.22
ChiSox,MIN,$3.45,$2.97
KC,MIN,$3.65,-$3.65
KC,MIN,$4.56,-$4.56
KC,MIN,$5.16,-$5.16
KC,MIN,$6.00,$0.00
KC,MIN,$4.21,-$4.21
KC,MIN,$4.44,-$4.44
KC,MIN,$4.44,$4.04
BAL,NYM,$3.33,-$3.33
ChiSox,NYY,$5.05,-$5.05
ChiSox,NYY,$6.06,$2.53
ChiSox,NYY,$3.21,-$3.21
BAL,NYY,$8.00,$2.58
BAL,NYY,$9.00,$2.73
BAL,NYY,$6.00,-$6.00
KC,NYY,$5.19,$1.92
KC,NYY,$10.00,-$10.00
KC,NYY,$5.00,$1.47
KC,NYY,$15.00,$4.29
KC,NYY,$7.00,$1.94
ChiSox,NYY,$6.00,$3.00
ChiSox,NYY,$4.99,$2.63
ChiSox,NYY,$6.01,$2.23
BAL,NYY,$18.00,-$18.00
BAL,NYY,$7.00,$3.80
BAL,NYY,$6.56,-$6.56
BAL,NYY,$4.05,$2.76
BAL,NYY,$7.32,$2.36
BAL,NYY,$9.00,-$9.00
BAL,NYY,$4.91,$2.73
BAL,NYY,$8.00,$3.14
BAL,NYY,$6.00,$3.09
BAL,NYY,$7.30,$2.61
ChiSox,OAK,$5.00,$3.33
ChiSox,OAK,$6.99,-$6.99
ChiSox,OAK,$2.00,-$2.00
ChiSox,OAK,$5.01,$4.36
BAL,OAK,$4.67,$2.67
BAL,OAK,$4.00,$2.00
BAL,OAK,$6.00,-$6.00
BAL,PHI,$6.54,$4.22
BAL,PHI,$1.94,$0.30
BAL,PHI,$17.31,$15.32
KC,PIT,$6.11,$2.84
KC,PIT,$3.33,$1.51
ChiSox,SEA,$6.98,$3.56
ChiSox,SEA,$7.07,-$7.07
ChiSox,SEA,$8.66,$3.94
BAL,SEA,$4.00,$1.95
BAL,SEA,$3.00,$1.30
BAL,SEA,$3.00,$1.30
KC,SEA,$6.00,$2.86
KC,SEA,$8.12,$3.01
KC,SEA,$7.50,$2.50
BAL,SEA,$10.00,$8.06
BAL,SEA,$30.00,$24.00
BAL,SEA,$6.99,$4.66
BAL,SEA,$10.39,$7.02
BAL,SEA,$6.00,$4.66
BAL,SEA,$10.02,$8.49
BAL,SEA,$30.00,$19.74
ChiSox,STL,$10.00,$5.71
ChiSox,STL,$3.78,-$3.78
KC,STL,$4.00,$2.67
KC,STL,$5.00,$3.18
ChiSox,TB,$4.32,-$4.32
ChiSox,TB,$12.00,-$12.00
BAL,TB,$3.99,$2.43
BAL,TB,$3.45,-$3.45
BAL,TB,$4.44,$2.27
BAL,TB,$6.00,$2.35
BAL,TB,$5.43,$2.26
KC,TB,$8.76,$4.68
KC,TB,$7.89,$3.29
KC,TB,$4.99,$2.55
KC,TB,$5.39,$2.84
KC,TB,$3.53,$1.91
BAL,TB,$2.45,$1.96
BAL,TB,$3.79,-$3.79
BAL,TB,$4.00,-$4.00
KC,TB -1.5,$2.00,-$2.00
BAL,TOR,$2.71,$1.69
BAL,TOR,$2.34,$1.26
BAL,TOR,$4.03,$2.01
BAL,TOR,$3.33,$1.96
BAL,TOR,$2.34,$1.59
BAL,TOR,$3.00,$1.58
ChiSox,TOR,$2.79,$2.10
ChiSox,TOR,$7.00,-$7.00
ChiSox,TOR,$3.74,$3.56
ChiSox,TOR,$2.03,$2.13
BAL,TOR,$3.03,-$3.03
BAL,TOR,$2.02,-$2.02
BAL,TOR,$4.32,-$4.32
BAL,TOR,$9.78,$7.14
BAL,TOR,$4.11,$3.45
BAL,TOR,$7.77,-$7.77
KC,TOR,$3.00,-$3.00
KC,TOR,$7.77,$5.55
KC,TOR,$5.67,-$5.67
BAL,TX,$12.00,$8.57
BAL,TX,$9.12,$5.63
BAL,TX,$2.13,$1.46
ChiSox,TX,$3.00,$2.00
ChiSox,TX,$4.00,$3.48
ChiSox,TX,$6.31,-$6.31
BAL,TX,$3.52,$3.01
BAL,TX,$2.39,-$2.39
BAL,TX ,$2.69,-$2.69
BAL,WAS,$10.00,$4.65
BAL,WAS,$6.00,-$6.00
BAL,WAS,$15.00,$5.08